YIL;AY;ILCE;MAHALLE;DAGITIM_YERI;MIKTAR;BIRIM
2020;01;-;-;Sokak besleme;150;kg
2020;01;Foça;-;Foça Yerel Hizmetler Şube Müdürlüğü;4125;kg
2020;01;Menderes;-;Şopen Gazi Barınağı;2745;kg
2020;01;Menderes;-;Menderes Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;01;Aliağa;-;Aliağa Yerel Hizmetler Şube Müdürlüğü;1500;kg
2020;01;Seferihisar;-;Seferihisar Yerel Hizmetler Şube Müdürlüğü;1200;kg
2020;01;Ödemiş;-;Ödemiş Yerel Hizmetler Şube Müdürlüğü;825;kg
2020;01;Tire;-;Tire Yerel Hizmetler Şube Müdürlüğü;1200;kg
2020;01;Beydağ;-;Beydağ;330;kg
2020;01;Selçuk;-;Selçuk;750;kg
2020;02;-;-;Sokak besleme;1000;kg
2020;02;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;2625;kg
2020;02;Menderes;;Şopen Gazi Barınağı;2550;kg
2020;02;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;02;Urla;;Urla Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;-;-;Sokak besleme;1275;kg
2020;03;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;4125;kg
2020;03;Menderes;;Şopen Gazi Barınağı;5100;kg
2020;03;Kınık;;Kınık Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Menderes;;Menderes Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Dikili;;Dikili Yerel Hizmetler Şube Müdürlüğü;1120;kg
2020;03;Bergama;;Bergama Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Karaburun;;Karaburun Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Çeşme;;Çeşme Yerel Hizmetler Şube Müdürlüğü;1125;kg
2020;03;Urla;;Urla Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Menemen;;Menemen Yerel Hizmetler Şube Müdürlüğü;450;kg
2020;03;Kemalpaşa;;Kemalpaşa Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Ödemiş;;Ödemiş Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Bayındır;;Bayındır Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Tire;;Tire Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Beydağ;;Beydağ Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;03;Torbalı;;Torbalı Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;04;-;-;Sokak besleme;630;kg
2020;04;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;2800;kg
2020;04;Menderes;;Şopen Gazi Barınağı;1425;kg
2020;04;Kınık;;Kınık Yerel Hizmetler Şube Müdürlüğü;1150;kg
2020;04;Menderes;;Menderes Yerel Hizmetler Şube Müdürlüğü;1500;kg
2020;04;Dikili;;Dikili Yerel Hizmetler Şube Müdürlüğü;1350;kg
2020;04;Aliağa;;Aliağa Yerel Hizmetler Şube Müdürlüğü;1650;kg
2020;04;Bergama;;Bergama Yerel Hizmetler Şube Müdürlüğü;900;kg
2020;04;Karaburun;;Karaburun Yerel Hizmetler Şube Müdürlüğü;1200;kg
2020;04;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;1650;kg
2020;04;Çeşme;;Çeşme Yerel Hizmetler Şube Müdürlüğü;1350;kg
2020;04;Urla;;Urla Yerel Hizmetler Şube Müdürlüğü;1200;kg
2020;04;Menemen;;Menemen Yerel Hizmetler Şube Müdürlüğü;1650;kg
2020;04;Kemalpaşa;;Kemalpaşa Yerel Hizmetler Şube Müdürlüğü;1050;kg
2020;04;Ödemiş;;Ödemiş Yerel Hizmetler Şube Müdürlüğü;1650;kg
2020;04;Bayındır;;Bayındır Yerel Hizmetler Şube Müdürlüğü;1650;kg
2020;04;Tire;;Tire Yerel Hizmetler Şube Müdürlüğü;900;kg
2020;04;Beydağ;;Beydağ Yerel Hizmetler Şube Müdürlüğü;825;kg
2020;04;Torbalı;;Torbalı Yerel Hizmetler Şube Müdürlüğü;825;kg
2020;04;Selçuk;;Selçuk Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;05;-;-;Sokak besleme;1815;kg
2020;05;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;2850;kg
2020;05;Menderes;;Şopen Gazi Barınağı;2100;kg
2020;05;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;1500;kg
2020;06;-;-;Sokak besleme;960;kg
2020;06;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;2250;kg
2020;06;Menderes;;Şopen Gazi Barınağı;1575;kg
2020;06;Kınık;;Kınık Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;06;Bergama;;Bergama Yerel Hizmetler Şube Müdürlüğü;750;kg
2020;06;Karaburun;;Karaburun Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;06;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;06;Çeşme;;Çeşme Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;06;Urla;;Urla Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;06;Kemalpaşa;;Kemalpaşa Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;06;Ödemiş;;Ödemiş Yerel Hizmetler Şube Müdürlüğü;354;kg
2020;06;Bayındır;;Bayındır Yerel Hizmetler Şube Müdürlüğü;328;kg
2020;06;Tire;;Tire Yerel Hizmetler Şube Müdürlüğü;178;kg
2020;06;Beydağ;;Beydağ Yerel Hizmetler Şube Müdürlüğü;354;kg
2020;06;Torbalı;;Torbalı Yerel Hizmetler Şube Müdürlüğü;928;kg
2020;07;-;-;Sokak besleme;495;kg
2020;07;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;4100;kg
2020;07;Menderes;;Şopen Gazi Barınağı;1560;kg
2020;07;Kınık;;Kınık Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;07;Dikili;;Dikili Yerel Hizmetler Şube Müdürlüğü;500;kg
2020;07;Aliağa;;Aliağa Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;07;Bergama;;Bergama Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;07;Seferihisar;;Seferihisar Yerel Hizmetler Şube Müdürlüğü;1125;kg
2020;07;Urla;;Urla Yerel Hizmetler Şube Müdürlüğü;90;kg
2020;07;Menemen;;Menemen Yerel Hizmetler Şube Müdürlüğü;300;kg
2020;08;-;-;Sokak besleme;255;kg
2020;08;Foça;;Foça Yerel Hizmetler Şube Müdürlüğü;900;kg
2020;08;Menderes;;Şopen Gazi Barınağı;975;kg
