YIL;SUBE_BOLGE;BAGLAMA_SURESI;ORTALAMA_ABONE_SURESI;KESIF_SURESI;TAHSILAT_SURESI;DILEKCE_SAYISI
2018;ALAÇATI;24,62;47,4;11,34;11,44;279
2018;ALİAĞA;16,45;34,71;7,51;10,74;1762
2018;BAYINDIR;15,32;31,24;10,27;5,66;349
2018;BAYRAKLI;29,3;67,25;27,93;10,02;2156
2018;BERGAMA;16,08;28,88;3,36;9,45;1216
2018;BEYDAĞ;5,78;22,93;1,72;15,43;115
2018;BORNOVA;59,08;138,75;62,75;16,91;11099
2018;BUCA;7,29;43,81;26,77;9,75;15265
2018;DİKİLİ;8,23;41,12;21,31;11,57;1135
2018;FOÇA;8,11;29,06;12,43;8,52;1109
2018;KARABAĞLAR;27,58;61,24;23,16;10,5;8813
2018;KARABURUN;39,79;67,17;9,49;17,89;320
2018;KARŞIYAKA;21,21;42,77;15,01;6,55;7330
2018;KEMALPAŞA;8,02;45,54;27,56;9,96;1930
2018;KINIK;25,51;65,47;7,07;32,88;452
2018;KONAK;28,26;53,7;14,46;10,98;3130
2018;KİRAZ;9,46;18,7;4,2;5,04;218
2018;MENDERES;36,25;64,28;18,07;9,96;2616
2018;MENEMEN;8,6;24,97;8,27;8,11;3016
2018;MORDOĞAN;36,59;58,98;7,51;14,88;187
2018;NARLIDERE;25,42;39,27;3,93;9,92;3007
2018;SEFERİHİSAR;16,18;32,51;8,08;8,25;1800
2018;SELÇUK;6,65;16,46;3,65;6,16;507
2018;TORBALI;8,57;30,18;7,75;13,86;5055
2018;TİRE;10,57;23,42;4,13;8,71;1011
2018;URLA;22,88;47,39;12,2;12,31;1706
2018;YENİŞEHİR;38,41;102,25;45,1;18,74;6133
2018;ÇANDARLI;8,4;24,71;8,98;7,33;289
2018;ÇEŞME;24,9;68,36;22,14;21,32;1412
2018;ÇİĞLİ;21,21;37,5;10,03;6,27;3231
2018;ÖDEMİŞ;4,91;14,49;5,07;4,51;1547
2018;ÜRKMEZ;25,58;52,24;16,13;10,53;1722
2019;ALAÇATI;35,88;92,15;35,48;20,79;218
2019;ALİAĞA;12,37;30;7,93;9,7;1459
2019;BAYINDIR;10,86;25,61;7,84;6,92;254
2019;BAYRAKLI;32,25;66,08;24,06;9,77;1732
2019;BERGAMA;15,95;30,47;4,7;9,82;1290
2019;BEYDAĞ;2,07;16,05;7,56;6,42;97
2019;BORNOVA;64,07;129,66;47,18;18,42;6356
2019;BUCA;19,5;51,45;21,97;9,98;10820
2019;DİKİLİ;8,54;42,69;20,22;13,93;1101
2019;FOÇA;5,47;22,09;7,7;8,93;1013
2019;KARABAĞLAR;27,89;61,02;20,81;12,32;6339
2019;KARABURUN;23,28;58,18;18,59;16,31;291
2019;KARŞIYAKA;25,49;41,49;10,01;5,98;6178
2019;KEMALPAŞA;6,93;45,49;31,39;7,17;1568
