YIL;AY;URETIM_KAYNAGI;URETIM_MIKTARI
2021;2;Tahtalı Barajı;5818100
2021;2;Balçova Barajı;0
2021;2;Sarıkız Kuyuları;0
2021;2;Menemen - Çavuşköy Kuyuları;886348
2021;2;Halkapınar Kuyuları;2492021
2021;2;Pınarbaşı Kuyuları;58721
2021;2;Buca ve Sarnıç Kuyuları;68651
2021;2;Gördes Barajı;3292558
2021;2;Göksu Kuyuları;3877762
2021;2;Tahtalı Barajı;5818100
2021;2;Balçova Barajı;0
2021;2;Sarıkız Kuyuları;0
2021;2;Menemen - Çavuşköy Kuyuları;886348
2021;2;Halkapınar Kuyuları;2492021
2021;2;Pınarbaşı Kuyuları;58721
2021;2;Buca ve Sarnıç Kuyuları;68651
2021;2;Gördes Barajı;3292558
2021;2;Göksu Kuyuları;3877762
2021;1;Tahtalı Barajı;6779300
2021;1;Balçova Barajı;0
2021;1;Sarıkız Kuyuları;0
2021;1;Menemen - Çavuşköy Kuyuları;1060124
2021;1;Halkapınar Kuyuları;2757728
2021;1;Pınarbaşı Kuyuları;99364
2021;1;Buca ve Sarnıç Kuyuları;80976
2021;1;Gördes Barajı;3148836
2021;1;Göksu Kuyuları;4240504
2020;12;Tahtalı Barajı;7156600
2020;12;Balçova Barajı;0
2020;12;Sarıkız Kuyuları;0
2020;12;Menemen - Çavuşköy Kuyuları;1163144
2020;12;Halkapınar Kuyuları;2707920
2020;12;Pınarbaşı Kuyuları;92620
2020;12;Buca ve Sarnıç Kuyuları;82847
2020;12;Gördes Barajı;3200170
2020;12;Göksu Kuyuları;4232332
2020;11;Tahtalı Barajı;7422600
2020;11;Balçova Barajı;0
2020;11;Sarıkız Kuyuları;0
2020;11;Menemen - Çavuşköy Kuyuları;1401824
2020;11;Halkapınar Kuyuları;2661824
2020;11;Pınarbaşı Kuyuları;94664
2020;11;Buca ve Sarnıç Kuyuları;89585
2020;11;Gördes Barajı;3099946
2020;11;Göksu Kuyuları;4068228
2020;10;Tahtalı Barajı;7949100
2020;10;Balçova Barajı;0
2020;10;Sarıkız Kuyuları;0
2020;10;Menemen - Çavuşköy Kuyuları;1739512
2020;10;Halkapınar Kuyuları;2788384
2020;10;Pınarbaşı Kuyuları;101544
2020;10;Buca ve Sarnıç Kuyuları;111654
2020;10;Gördes Barajı;3248030
2020;10;Göksu Kuyuları;4170244
2020;9;Tahtalı Barajı;9239100
2020;9;Balçova Barajı;214740
2020;9;Sarıkız Kuyuları;0
2020;9;Menemen - Çavuşköy Kuyuları;1726224
2020;9;Halkapınar Kuyuları;2678240
2020;9;Pınarbaşı Kuyuları;144609
2020;9;Buca ve Sarnıç Kuyuları;126799
2020;9;Gördes Barajı;3161322
2020;9;Göksu Kuyuları;4032310
2020;8;Tahtalı Barajı;8956300
2020;8;Balçova Barajı;668280
2020;8;Sarıkız Kuyuları;0
2020;8;Menemen - Çavuşköy Kuyuları;1836914
2020;8;Halkapınar Kuyuları;2792640
2020;8;Pınarbaşı Kuyuları;160614
2020;8;Buca ve Sarnıç Kuyuları;137166
2020;8;Gördes Barajı;3282337
2020;8;Göksu Kuyuları;4366254
2020;7;Tahtalı Barajı;9786100
2020;7;Balçova Barajı;486360
2020;7;Sarıkız Kuyuları;0
2020;7;Menemen - Çavuşköy Kuyuları;1517114
2020;7;Halkapınar Kuyuları;2790624
2020;7;Pınarbaşı Kuyuları;162949
2020;7;Buca ve Sarnıç Kuyuları;126363
2020;7;Gördes Barajı;3290632
2020;7;Göksu Kuyuları;4074226
2020;6;Tahtalı Barajı;8093100
2020;6;Balçova Barajı;0
2020;6;Sarıkız Kuyuları;0
2020;6;Menemen - Çavuşköy Kuyuları;1736296
2020;6;Halkapınar Kuyuları;2653120
2020;6;Pınarbaşı Kuyuları;151963
2020;6;Buca ve Sarnıç Kuyuları;97246
2020;6;Gördes Barajı;3151623
2020;6;Göksu Kuyuları;4014475
2020;5;Tahtalı Barajı;8017900
2020;5;Balçova Barajı;0
2020;5;Sarıkız Kuyuları;0
2020;5;Menemen - Çavuşköy Kuyuları;1795964
2020;5;Halkapınar Kuyuları;2683168
2020;5;Pınarbaşı Kuyuları;160065
2020;5;Buca ve Sarnıç Kuyuları;99480
2020;5;Gördes Barajı;3257509
2020;5;Göksu Kuyuları;4202390
2020;4;Tahtalı Barajı;6964500
2020;4;Balçova Barajı;0
2020;4;Sarıkız Kuyuları;0
2020;4;Menemen - Çavuşköy Kuyuları;1737508
2020;4;Halkapınar Kuyuları;2568960
2020;4;Pınarbaşı Kuyuları;147612
2020;4;Buca ve Sarnıç Kuyuları;87736
2020;4;Gördes Barajı;3136838
2020;4;Göksu Kuyuları;4115460
2020;3;Tahtalı Barajı;7398800
2020;3;Balçova Barajı;0
2020;3;Sarıkız Kuyuları;0
2020;3;Menemen - Çavuşköy Kuyuları;1654276
2020;3;Halkapınar Kuyuları;2645664
2020;3;Pınarbaşı Kuyuları;145151
2020;3;Buca ve Sarnıç Kuyuları;82828
2020;3;Gördes Barajı;3214305
2020;3;Göksu Kuyuları;4131495
2020;2;Tahtalı Barajı;6446900
2020;2;Balçova Barajı;0
2020;2;Sarıkız Kuyuları;0
2020;2;Menemen - Çavuşköy Kuyuları;1257552
2020;2;Halkapınar Kuyuları;2446096
2020;2;Pınarbaşı Kuyuları;153088
2020;2;Buca ve Sarnıç Kuyuları;73397
2020;2;Gördes Barajı;2927069
2020;2;Göksu Kuyuları;3993731
2020;1;Tahtalı Barajı;6458300
2020;1;Balçova Barajı;0
2020;1;Sarıkız Kuyuları;0
2020;1;Menemen - Çavuşköy Kuyuları;1694668
2020;1;Halkapınar Kuyuları;2652760
2020;1;Pınarbaşı Kuyuları;164958
2020;1;Buca ve Sarnıç Kuyuları;79351
2020;1;Gördes Barajı;3159661
2020;1;Göksu Kuyuları;4267521
2019;12;Tahtalı Barajı;6435900
2019;12;Balçova Barajı;0
2019;12;Sarıkız Kuyuları;0
2019;12;Menemen - Çavuşköy Kuyuları;1732312
2019;12;Halkapınar Kuyuları;2693012
2019;12;Pınarbaşı Kuyuları;158203
2019;12;Buca ve Sarnıç Kuyuları;85124
2019;12;Gördes Barajı;3272121
2019;12;Göksu Kuyuları;4238524
2019;11;Tahtalı Barajı;6808600
2019;11;Balçova Barajı;0
2019;11;Sarıkız Kuyuları;932343
2019;11;Menemen - Çavuşköy Kuyuları;1639374
2019;11;Halkapınar Kuyuları;2688720
2019;11;Pınarbaşı Kuyuları;156021
2019;11;Buca ve Sarnıç Kuyuları;89061
2019;11;Gördes Barajı;1078097
2019;11;Göksu Kuyuları;5132160
2019;10;Tahtalı Barajı;7489400
2019;10;Balçova Barajı;389200
2019;10;Ürkmez Barajı;96821
2019;10;Sarıkız Kuyuları;1807312
2019;10;Menemen - Çavuşköy Kuyuları;1627405
2019;10;Halkapınar Kuyuları;2623468
2019;10;Pınarbaşı Kuyuları;158751
2019;10;Buca ve Sarnıç Kuyuları;99479
2019;10;Gördes Barajı;0
