YIL;AY;ILCE;MAHALLE;ABONE_ADEDI;ORTALAMA_TUKETIM
2020;1;ALİAĞA;ATATÜRK;2612;9,47
2020;1;ALİAĞA;AŞAĞIŞAKRAN;89;7,16
2020;1;ALİAĞA;B.HAYRETTİN PAŞA;387;9,08
2020;1;ALİAĞA;BAHÇEDERE;25;7,83
2020;1;ALİAĞA;BOZKÖY;170;9,33
2020;1;ALİAĞA;FATİH;544;8,37
2020;1;ALİAĞA;GÜZELHİSAR;182;8,48
2020;1;ALİAĞA;HACIÖMERLİ;307;7,93
2020;1;ALİAĞA;HOROZGEDİĞİ;84;15,04
2020;1;ALİAĞA;KALABAK;136;7,3
2020;1;ALİAĞA;KAPUKAYA;50;5,54
2020;1;ALİAĞA;KARAKUZU;210;7,65
2020;1;ALİAĞA;KARAKÖY;57;8,31
2020;1;ALİAĞA;KAZIM DİRİK;2773;9,09
2020;1;ALİAĞA;KURTULUŞ;2639;9,07
2020;1;ALİAĞA;KÜLTÜR;2646;9,33
2020;1;ALİAĞA;MİMAR SİNAN;386;8,02
2020;1;ALİAĞA;SAMURLU;109;8,3
2020;1;ALİAĞA;SİTELER;2599;9,79
2020;1;ALİAĞA;UZUNHASANLAR;102;11,01
2020;1;ALİAĞA;YALI;1049;9,76
2020;1;ALİAĞA;YENİ;6266;9,65
2020;1;ALİAĞA;YENİŞAKRAN;1794;7,82
2020;1;ALİAĞA;YUKARI ŞEHİTKEMAL;91;10,16
2020;1;ALİAĞA;YÜKSEKKÖY;40;7,22
2020;1;ALİAĞA;ÇAKMAKLI;280;8,29
2020;1;ALİAĞA;ÇALTILIDERE;273;8,02
2020;1;ALİAĞA;ÇITAK;219;7,83
2020;1;ALİAĞA;ÇORAKLAR;13;7,19
2020;1;ALİAĞA;ŞEHİTKEMAL;236;9,81
2020;1;BALÇOVA;BAHÇELERARASI;35;9,22
2020;1;BALÇOVA;EĞİTİM;5257;8,17
2020;1;BALÇOVA;FEVZİ ÇAKMAK;4087;7,8
2020;1;BALÇOVA;KORUTÜRK;3949;8,26
2020;1;BALÇOVA;ONUR;6309;7,89
2020;1;BALÇOVA;TELEFERİK;3050;8,59
2020;1;BALÇOVA;ÇETİN EMEÇ;3844;8,11
2020;1;BALÇOVA;İNCİRALTI;87;9,66
2020;1;BAYINDIR;ALANKIYI;114;7,35
2020;1;BAYINDIR;ALANKÖY;64;3,94
2020;1;BAYINDIR;ARIKBAŞI;253;11,69
2020;1;BAYINDIR;ATATÜRK;159;8,48
2020;1;BAYINDIR;BALCILAR;108;5,98
2020;1;BAYINDIR;BIYIKLAR;212;6,91
2020;1;BAYINDIR;BURUNCUK;104;14,5
2020;1;BAYINDIR;CAMİİ;210;6,18
2020;1;BAYINDIR;CUMHURİYET;188;8,17
2020;1;BAYINDIR;DEMİRCİLİK;226;7,5
2020;1;BAYINDIR;DEREKÖY;74;15,18
2020;1;BAYINDIR;DERNEKLİ;43;6,99
2020;1;BAYINDIR;ELİFLİ;136;8,73
2020;1;BAYINDIR;ERGENLİ;143;7,58
2020;1;BAYINDIR;FATİH;907;8,08
